"","word","EAP","author","freq"
"1","abaout",NA,"HPL",0.0010174665083941
"2","abnormal",NA,"HPL",0.00072070544344582
"3","abysses",NA,"HPL",0.00110225538409361
"4","account",0.00202983238505305,"HPL",0.00105986094624385
"5","accursed",NA,"HPL",0.00131422757334238
"6","action",0.000922651084115024,"HPL",0.000847888756995082
"7","actual",0.000492080578194679,"HPL",0.000763099881295574
"8","afraid",NA,"HPL",0.000805494319145328
"9","afternoon",0.000492080578194679,"HPL",0.00152619976259115
"10","afterward",0.000707365831154852,"HPL",0.00131422757334238
"11","age",0.00116869137321236,"HPL",0.00178056638968967
"12","aged",NA,"HPL",0.00118704425979312
"13","ago",0.000984161156389359,"HPL",0.00135662201119213
"14","ahead",NA,"HPL",0.00173817195183992
"15","aid",0.000584345686606182,"HPL",0.000678311005596066
"16","air",0.00316776872212825,"HPL",0.00211972189248771
"17","aira",NA,"HPL",0.000805494319145328
"18","alive",0.000522835614331847,"HPL",0.00139901644904189
"19","amidst",NA,"HPL",0.00161098863829066
"20","ancient",0.000553590650469014,"HPL",0.00521451585551976
"21","animals",NA,"HPL",0.00072070544344582
"22","antique",NA,"HPL",0.00093267763269459
"23","aout",NA,"HPL",0.00173817195183992
"24","apparently",0.00110718130093803,"HPL",0.00122943869764287
"25","appeared",0.00252191296324773,"HPL",0.00190774970323894
"26","approached",NA,"HPL",0.000890283194844836
"27","april",NA,"HPL",0.000678311005596066
"28","arkham",NA,"HPL",0.00245887739528574
"29","armitage",NA,"HPL",0.00139901644904189
"30","arms",0.000953406120252191,"HPL",0.00093267763269459
"31","art",0.00135322159003537,"HPL",0.000678311005596066
"32","arthur",NA,"HPL",0.00093267763269459
"33","aspect",NA,"HPL",0.00118704425979312
"34","atal",NA,"HPL",0.000678311005596066
"35","attention",0.00261417807165923,"HPL",0.000763099881295574
"36","attic",NA,"HPL",0.00118704425979312
"37","autumn",NA,"HPL",0.00072070544344582
"38","awaked",NA,"HPL",0.000763099881295574
"39","awful",NA,"HPL",0.00110225538409361
